number,position,name,club,age,height,weight,country,active,twitter
17,D,Saad Abdul-Salaam,Sporting Kansas City,23,6' 4",185,USA,Active,saad_abdul
11,F,David Accam,Chicago Fire,24,5' 9",154,Ghana,Active,iamdavidaccam
23,D/M,Kellyn Acosta,FC Dallas,19,5' 10",150,USA,Active,KellynAcosta
4,D,Adaílton,Chicago Fire,31,6' 3",180,Brazil,Active,No Twitter
3,D,Sam Adekugbe,Vancouver Whitecaps FC,20,5' 9",165,England,Active,SamAdekugbe
9,F,Fanendo Adi,Portland Timbers,24,6' 4",185,Nigeria,Active,No Twitter
10,F,Juan Agudelo,New England Revolution,22,6' 1",183,Colombia,Active,jagudelo11
13,F,Tesho Akindele,FC Dallas,22,6' 1",170,Canada,Active,No Twitter
27,M,Fatai Alashe,San Jose Earthquakes,21,6',170,USA,Active,FataiPrince27
7,M,Alex,Chicago Fire,26,5' 8",155,Brazil,Active,No Twitter
29,M,Eric Alexander,Montreal Impact,26,6' 1",165,USA,Active,EZDoesIt17
7,D/M,Jordan Allen,Real Salt Lake,19,5' 11",160,USA,Active,jayallen
6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11",165,Cuba,Active,No Twitter
30,D,Kevin Alston,New England Revolution,26,5' 8",160,USA,Active,KAlston30
17,F,Jozy Altidore,Toronto FC,25,6',175,USA,Active,JozyAltidore
24,F,Quincy Amarikwa,Chicago Fire,27,5' 9",180,USA,Active,QuincyAmarikwa
23,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA,Active,jalil_anibaba4
11,M,Bernardo Añor,Sporting Kansas City,26,5' 8",158,Venezuela,Active,BernardoAnor
34,M,Manny Aparicio,Toronto FC,19,5' 6",149,Argentina,Active,No Twitter
5,D,Armando,New York Red Bulls,30,6' 1",175,Spain,Active,No Twitter
8,M,Davy Arnaud,D.C. United,34,5' 11",160,USA,Active,d_arnaud22
19,F,Jairo Arrieta,D.C. United,31,5' 9",150,Costa Rica,Active,Obando
26,M,Corey Ashe,Houston Dynamo,28,5' 5",154,USA,Active,CoreyAshe
11,M/F,Dairon Asprilla,Portland Timbers,22,5' 11",165,Colombia,Active,No Twitter
24,GK,Jeff Attinella,Real Salt Lake,26,6' 2",190,USA,Active,@Jeff_Attinella1
12,D/M,Eric Avila,Orlando City SC,27,5' 8",150,USA,Active,EricAvila12
42,M,Micheal Azira,Seattle Sounders FC,27,5' 10",160,Uganda,Active,No Twitter
20,M,Mehdi Ballouchy,New York City FC,31,5' 11",169,Morocco,Active,No Twitter
26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11",165,USA,Active,bbarks25
25,D,Darrius Barnes,New England Revolution,28,6' 1",175,USA,Active,D_Barnes25
10,F,Giles Barnes,Houston Dynamo,26,5' 11",181,England,Active,GilesBarnesReal
23,M,Leandro Barrera,San Jose Earthquakes,23,5' 8",171,Argentina,Active,No Twitter
19,F,Chad Barrett,Seattle Sounders FC,29,5' 11",185,USA,Active,CBarrett19
21,D,Chad Barson,Columbus Crew SC,23,5' 10",170,USA,Active,No Twitter
7,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8",145,USA,Active,DaMarcusBeasley
5,M,Kyle Beckerman,Real Salt Lake,32,5' 11",165,USA,Active,KyleBeckerman
29,F,Adam Bedell,Columbus Crew SC,23,6' 6",204,USA,Active,ajbedell4
33,D/M,Steven Beitashour,Vancouver Whitecaps FC,28,5' 10",170,USA,Active,No Twitter
4,M,Kyle Bekker,FC Dallas,24,5' 9",165,Canada,Active,No Twitter
27,M,Louis Béland-Goyette,Montreal Impact,19,5' 8",140,Canada,Active,louisbg27
2,D,Tony Beltran,Real Salt Lake,27,5' 8",150,USA,Active,Tonybeltran23
12,GK,Joe Bendik,Toronto FC,25,6' 2",217,USA,Active,Jtbendik
5,D,Víctor Bernárdez,San Jose Earthquakes,32,6' 2",190,Honduras,Active,No Twitter
12,GK,John Berner,Colorado Rapids,24,6' 3",205,USA,Active,JohnnyB_1_
8,M,Patrice Bernier,Montreal Impact,35,5' 9",170,Canada,Active,pbernier10
4,D,Austin Berry,Philadelphia Union,26,6' 2",188,USA,Active,aberr22
5,D,Matt Besler,Sporting Kansas City,28,6',170,USA,Active,mbesler
,M,Nick Besler,Portland Timbers,21,6' 1",165,USA,Active,BickisBack
1,GK,David Bingham,San Jose Earthquakes,25,6' 2",185,USA,Active,BinghamDB
15,D,Steve Birnbaum,D.C. United,24,6' 2",180,USA,Active,StevenBirnbaum
1,GK,Andre Blake,Philadelphia Union,24,6' 4",175,Jamaica,Active,andreblake29
28,D,Mark Bloom,Toronto FC,27,5' 11",162,USA,Active,No Twitter
14,D,Luke Boden,Orlando City SC,26,6' 2",184,England,Active,BODZ1988
,GK,Alex Bono,Toronto FC,20,6' 3",195,USA,Active,No Twitter
,D,Nat Borchers,Portland Timbers,33,6' 2",175,USA,Active,natborchers
32,D,Bobby Boswell,D.C. United,31,6' 2",185,USA,Active,bobbyboswell
21,M,Rubén Bover,New York Red Bulls,22,5' 7",144,Spain,Active,ruben_bover
,F,Tristan Bowen,New England Revolution,24,5' 11",170,USA,Active,TristanBowen7
4,M,Michael Bradley,Toronto FC,27,6' 2",179,USA,Active,No Twitter
5,D,Jeb Brovsky,New York City FC,26,6' 1",170,USA,Active,JebBrovsky
26,F,Deshorn Brown,Colorado Rapids,24,6' 2",170,Jamaica,Active,strika09
12,F,Will Bruin,Houston Dynamo,25,6' 2",194,USA,Active,wbruin
10,F,Teal Bunbury,New England Revolution,24,6' 2",175,Canada,Active,TealBunB
4,D,Marc Burch,Colorado Rapids,30,6' 1",180,USA,Active,Marc_Burch
23,D,Bobby Burling,Colorado Rapids,30,6' 5",195,USA,Active,bobbyburling
18,GK,Jon Busch,Chicago Fire,38,5' 10",165,USA,Active,No Twitter
1,G,Evan Bush,Montreal Impact,28,6' 1",186,USA,Active,ebushel1
23,M,Michael Bustamante,New York Red Bulls,25,5' 9",160,Colombia,Active,No Twitter
32,M,Marco Bustos,Vancouver Whitecaps FC,18,5' 6",150,Canada,Active,No Twitter
36,D,Victor Cabrera,Montreal Impact,22,6',165,Argentina,Active,No Twitter
6,M,Scott Caldwell,New England Revolution,23,5' 8",150,USA,Active,No Twitter
13,D,Steven Caldwell,Toronto FC,34,6' 2",195,Scotland,Active,StevoCaldwell
,M,Javier Calle,New York City FC,23,5' 9",163,Colombia,Active,No Twitter
29,F,Caleb Calvert,Colorado Rapids,18,6' 2",160,USA,Active,No Twitter
6,D,Hassoun Camara,Montreal Impact,29,6' 2",190,France,Active,HassCamara6
