country,continent,opposition,opposition_continent,played,wins,draws,losses,gf,ga
afghanistan,asia,syria,asia,2,0,0,2,1,5
afghanistan,asia,turkmenistan,asia,2,0,0,2,0,13
bangladesh,asia,china-pr,asia,2,0,0,2,0,4
bangladesh,asia,india,asia,2,0,0,2,2,4
bangladesh,asia,indonesia,asia,2,1,0,1,2,3
bangladesh,asia,iran,asia,2,0,0,2,1,3
bangladesh,asia,japan,asia,2,0,0,2,1,12
bangladesh,asia,malaysia,asia,2,0,0,2,0,3
bangladesh,asia,mongolia,asia,2,1,1,0,5,2
bangladesh,asia,pakistan,asia,2,1,1,0,3,0
bangladesh,asia,saudi-arabia,africa,4,0,0,4,1,16
bangladesh,asia,sri-lanka,asia,2,2,0,0,4,0
bangladesh,asia,tajikistan,asia,4,0,1,3,1,10
bangladesh,asia,thailand,asia,6,2,0,4,6,13
bangladesh,asia,united-arab-emirates,asia,2,0,0,2,0,8
bangladesh,asia,vietnam,asia,2,0,1,1,0,4
india,asia,bahrain,asia,2,0,0,2,1,5
india,asia,bangladesh,asia,2,2,0,0,4,2
india,asia,brunei-darussalam,asia,2,2,0,0,6,0
india,asia,hong-kong,asia,2,1,0,1,4,3
india,asia,indonesia,asia,2,0,1,1,2,3
india,asia,japan,asia,2,0,0,2,0,11
india,asia,korea-republic,asia,2,0,0,2,0,10
india,asia,lebanon,asia,4,0,2,2,6,10
india,asia,oman,asia,2,0,1,1,1,5
india,asia,philippines,asia,1,1,0,0,2,0
india,asia,qatar,asia,1,0,0,1,0,6
india,asia,singapore,asia,2,1,0,1,1,2
india,asia,sri-lanka,asia,1,0,1,0,1,1
india,asia,thailand,asia,2,0,2,0,1,1
india,asia,united-arab-emirates,asia,4,1,1,2,3,6
india,asia,yemen,asia,2,0,2,0,4,4
kyrgyzstan,asia,bahrain,asia,4,0,0,4,2,10
kyrgyzstan,asia,iran,asia,2,0,0,2,1,10
kyrgyzstan,asia,jordan,asia,2,1,0,1,2,2
kyrgyzstan,asia,kuwait,asia,2,0,0,2,0,5
kyrgyzstan,asia,maldives,asia,2,2,0,0,9,0
kyrgyzstan,asia,pakistan,asia,2,2,0,0,6,0
kyrgyzstan,asia,singapore,asia,2,1,1,0,2,1
kyrgyzstan,asia,syria,asia,4,2,2,0,4,2
kyrgyzstan,asia,tajikistan,asia,2,0,0,2,2,4
kyrgyzstan,asia,uzbekistan,asia,2,0,0,2,0,7
mongolia,asia,bangladesh,asia,2,0,1,1,2,5
mongolia,asia,maldives,asia,2,0,0,2,0,13
mongolia,asia,myanmar,asia,2,1,0,1,1,2
