year,homeTeam,awayTeam,homeGoals,awayGoals,result,homeWinProb,drawProb,awayWinProb,outcomeProb
2014,Chelsea,Sunderland,1,2,A,0.7941,0.1339,0.0721,0.0721
2014,Man United,West Brom,1,2,A,0.7494,0.1694,0.0812,0.0812
2014,Crystal Palace,Chelsea,1,0,H,0.0976,0.2054,0.697,0.0976
2014,Everton,Crystal Palace,2,3,A,0.697,0.2054,0.0976,0.0976
2014,Everton,Sunderland,0,1,A,0.7132,0.1847,0.1021,0.1021
2014,Sunderland,Man City,1,0,H,0.1084,0.195,0.6966,0.1084
2014,Man City,Sunderland,2,2,D,0.8342,0.1084,0.0574,0.1084
2014,Man United,Sunderland,0,1,A,0.7161,0.1694,0.1146,0.1146
2014,Cardiff,Man City,3,2,H,0.115,0.2059,0.6791,0.115
2014,Tottenham,West Ham,0,3,A,0.6791,0.2059,0.115,0.115
2014,Arsenal,Aston Villa,1,3,A,0.6742,0.2044,0.1214,0.1214
2014,Southampton,Cardiff,0,1,A,0.6727,0.2054,0.1219,0.1219
2014,Chelsea,West Ham,0,0,D,0.8267,0.1219,0.0513,0.1219
2014,Chelsea,Norwich,0,0,D,0.8126,0.13,0.0574,0.13
2014,Stoke,Man United,2,1,H,0.1387,0.2428,0.6185,0.1387
2014,Liverpool,Aston Villa,2,2,D,0.7964,0.1388,0.0648,0.1388
2014,Man United,Fulham,2,2,D,0.81,0.1389,0.0512,0.1389
2014,Aston Villa,Chelsea,1,0,H,0.139,0.2248,0.6362,0.139
2014,Man United,Newcastle,0,1,A,0.6362,0.2248,0.139,0.139
2014,Aston Villa,Man City,3,2,H,0.1495,0.2314,0.6191,0.1495
2014,Stoke,Chelsea,3,2,H,0.1495,0.2314,0.6191,0.1495
2014,Liverpool,Southampton,0,1,A,0.6075,0.243,0.1495,0.1495
2014,Tottenham,Newcastle,0,1,A,0.6234,0.226,0.1506,0.1506
2014,Hull,Liverpool,3,1,H,0.1507,0.2448,0.6045,0.1507
2014,Chelsea,West Brom,2,2,D,0.7561,0.1626,0.0813,0.1626
2014,Newcastle,Chelsea,2,0,H,0.1631,0.233,0.604,0.1631
2014,Southampton,Aston Villa,2,3,A,0.5737,0.2567,0.1696,0.1696
2014,Norwich,Man City,0,0,D,0.1081,0.1768,0.7151,0.1768
2014,Man United,Everton,0,1,A,0.5631,0.2598,0.1771,0.1771
2014,Stoke,Arsenal,1,0,H,0.1777,0.2572,0.565,0.1777
2014,Liverpool,Chelsea,0,2,A,0.5828,0.2318,0.1854,0.1854
2014,Newcastle,Hull,2,3,A,0.5267,0.2784,0.1949,0.1949
2014,Hull,Crystal Palace,0,1,A,0.5267,0.2784,0.1949,0.1949
2014,Crystal Palace,Liverpool,3,3,D,0.1084,0.195,0.6966,0.195
2014,West Brom,Norwich,0,2,A,0.5435,0.2609,0.1957,0.1957
2014,Man United,Tottenham,1,2,A,0.5398,0.2557,0.2045,0.2045
2014,Aston Villa,Crystal Palace,0,1,A,0.5076,0.277,0.2154,0.2154
2014,Stoke,Norwich,0,1,A,0.4983,0.2858,0.2159,0.2159
2014,Man City,Chelsea,0,1,A,0.5269,0.2565,0.2166,0.2166
2014,West Brom,Chelsea,1,1,D,0.1304,0.2174,0.6522,0.2174
2014,Newcastle,Sunderland,0,3,A,0.4981,0.2775,0.2243,0.2243
2014,Tottenham,West Brom,1,1,D,0.6362,0.2248,0.139,0.2248
2014,West Ham,Stoke,0,1,A,0.4878,0.2869,0.2253,0.2253
2014,West Brom,Liverpool,1,1,D,0.1701,0.2259,0.6039,0.2259
2014,Everton,West Brom,0,0,D,0.6234,0.226,0.1506,0.226
2014,Man United,Southampton,1,1,D,0.6234,0.226,0.1506,0.226
2014,Swansea,West Brom,1,2,A,0.502,0.2719,0.2261,0.2261
2014,West Ham,Tottenham,2,0,H,0.2262,0.2611,0.5127,0.2262
2014,Arsenal,Swansea,2,2,D,0.6191,0.2314,0.1495,0.2314
2014,Cardiff,West Ham,0,2,A,0.4856,0.2775,0.2369,0.2369
2014,Southampton,Stoke,2,2,D,0.6273,0.2431,0.1296,0.2431
2014,West Brom,Arsenal,1,1,D,0.199,0.2438,0.5572,0.2438
2014,Norwich,Fulham,1,2,A,0.4766,0.2791,0.2443,0.2443
2014,Aston Villa,Fulham,1,2,A,0.4766,0.2791,0.2443,0.2443
2014,Stoke,Man City,0,0,D,0.163,0.2444,0.5926,0.2444
