home,home_continent,home_score,away,away_continent,away_score,result
Brazil,South America,3,Croatia,Europe,1,w
Mexico,CONCACAF,1,Cameroon,Africa,0,w
Brazil,South America,0,Mexico,CONCACAF,0,d
Cameroon,Africa,0,Croatia,Europe,4,l
Cameroon,Africa,1,Brazil,South America,4,l
Croatia,Europe,1,Mexico,CONCACAF,3,l
Spain,Europe,1,Netherlands,Europe,5,l
Chile,South America,3,Australia,Asia,1,w
Australia,Asia,2,Netherlands,Europe,3,l
Spain,Europe,0,Chile,South America,2,l
Australia,Asia,0,Spain,Europe,3,l
Netherlands,Europe,2,Chile,South America,0,w
Columbia,South America,3,Greece,Europe,0,w
Ivory Coast,Africa,2,Japan,Asia,1,w
Columbia,South America,2,Ivory Coast,Africa,1,w
Japan,Asia,0,Greece,Europe,0,d
Greece,Europe,2,Ivory Coast,Africa,1,w
Japan,Asia,1,Columbia,South America,4,l
Uruguay,South America,1,Costa Rica,CONCACAF,3,l
England,Europe,1,Italy,Europe,2,l
Uruguay,South America,2,England,Europe,1,w
Italy,Europe,0,Costa Rica,CONCACAF,1,l
Costa Rica,CONCACAF,0,England,Europe,0,d
Italy,Europe,0,Uruguay,South America,1,l
Switzerland,Europe,2,Ecuador,South America,1,w
France,Europe,3,Honduras,CONCACAF,0,w
Switzerland,Europe,2,France,Europe,5,l
Honduras,CONCACAF,1,Ecuador,South America,2,l
Ecuador,South America,0,France,Europe,0,d
Honduras,CONCACAF,0,Switzerland,Europe,3,l
Argentina,South America,2,Bosnia,Europe,1,w
Iran,Asia,0,Nigeria,Africa,0,d
Argentina,South America,1,Iran,Asia,0,w
Nigeria,Africa,1,Bosnia,Europe,0,w
Bosnia,Europe,3,Iran,Asia,1,w
Nigeria,Africa,2,Argentina,South America,3,l
Germany,Europe,4,Portugal,Europe,0,w
Ghana,Africa,1,USA,CONCACAF,2,l
Germany,Europe,2,Ghana,Africa,2,d
USA,CONCACAF,2,Portugal,Europe,2,d
Portugal,Europe,2,Ghana,Africa,1,w
USA,CONCACAF,0,Germany,Europe,1,l
Belgium,Europe,2,Algeria,Africa,1,w
Russia,Europe,1,Korea,Asia,1,d
Belgium,Europe,1,Russia,Europe,0,w
Korea,Asia,2,Algeria,Africa,4,l
Algeria,Africa,1,Russia,Europe,1,d
Korea,Asia,0,Belgium,Europe,1,l
Brazil,South America,1,Chile,South America,1,d
Columbia,South America,2,Uruguay,South America,0,w
France,Europe,2,Nigeria,Africa,0,w
Netherlands,Europe,2,Mexico,CONCACAF,1,w
Costa Rica,CONCACAF,1,Greece,Europe,1,d
